line_item_id,order_id,order_updated_at,sku,name,quantity,unit_price,currency
gid://shopify/LineItem/15012118331566,gid://shopify/Order/6321888395438,2025-12-31T20:06:54Z,DI10076F,Caneta Crown Personalizada Metal Otawa Esferográfica - Fumê,1,69.9,BRL
gid://shopify/LineItem/15012118364334,gid://shopify/Order/6321888395438,2025-12-31T20:06:54Z,DI10076F,Caneta Crown Personalizada Metal Otawa Esferográfica - Fumê,1,69.9,BRL
gid://shopify/LineItem/15012307337390,gid://shopify/Order/6321963958446,2025-12-31T21:07:09Z,DI19966N,Caneta Crown Personalizada Metal Treasure Esferográfica - Prata e Dourado,1,109.9,BRL
gid://shopify/LineItem/15012406689966,gid://shopify/Order/6322003673262,2025-12-31T21:43:01Z,DI19966P,Caneta Crown Personalizada Metal Treasure Esferográfica - Preta,1,109.9,BRL
gid://shopify/LineItem/15012406722734,gid://shopify/Order/6322003673262,2025-12-31T21:43:01Z,DI19966P,Caneta Crown Personalizada Metal Treasure Esferográfica - Preta,1,109.9,BRL
gid://shopify/LineItem/15012413538478,gid://shopify/Order/6322006196398,2025-12-31T21:45:25Z,DI12601P,Caneta Crown Personalizada Metal Capricci Esferográfica - Preta,1,134.9,BRL
gid://shopify/LineItem/15012413571246,gid://shopify/Order/6322006196398,2025-12-31T21:45:25Z,CA12009P,CARGA CROWN ESFEROGRAFICA TIPO CROSS | CA12009 - Preto,1,18.9,BRL
gid://shopify/LineItem/15012421075118,gid://shopify/Order/6322008621230,2025-12-31T21:52:20Z,DI38008B,Caneta Crown Personalizada Metal Geek Tinteiro - Branca,1,119.9,BRL
gid://shopify/LineItem/15012457349294,gid://shopify/Order/6322024906926,2025-12-31T22:02:57Z,DI11004F,Caneta Crown Personalizada Diamond - Rose,1,122.9,BRL
gid://shopify/LineItem/15012480975022,gid://shopify/Order/6322034671790,2025-12-31T22:11:54Z,DI19966P,Caneta Crown Personalizada Metal Treasure Esferográfica - Preta,1,109.9,BRL
