order_id,order_name,order_created_at,line_item_id,line_item_name,sku,quantity,unit_price,currency,variant_id,variant_title,product_id,product_title
gid://shopify/Order/6304955498670,#5538,2025-12-19T19:24:22Z,gid://shopify/LineItem/14976972718254,Caneta Crown Personalizada Metal Libra Gold Esferográfica - Azul,DI10078A,1,113.9,BRL,gid://shopify/ProductVariant/47090346000558,Azul,gid://shopify/Product/8894502600878,Caneta Crown Personalizada Metal Libra Gold Esferográfica
gid://shopify/Order/6304942063790,#5537,2025-12-19T19:14:54Z,gid://shopify/LineItem/14976943784110,Caneta Crown Personalizada Metal Top Model Esferografica - Preta,DI10020P,1,104.9,BRL,gid://shopify/ProductVariant/47090349637806,Preta,gid://shopify/Product/8894503944366,Caneta Crown Personalizada Metal Top Model Esferografica
gid://shopify/Order/6304942063790,#5537,2025-12-19T19:14:54Z,gid://shopify/LineItem/14976943816878,CARGA CROWN ESFEROGRAFICA TIPO CROSS | CA12009 - Preto,CA12009P,1,18.9,BRL,gid://shopify/ProductVariant/47122633457838,Preto,gid://shopify/Product/8901032181934,CARGA CROWN ESFEROGRAFICA TIPO CROSS | CA12009
gid://shopify/Order/6304922730670,#5536,2025-12-19T19:02:08Z,gid://shopify/LineItem/14976897613998,Caneta Crown Personalizada Metal Sigma Esferográfica - Preta,DI10068P,1,99.9,BRL,gid://shopify/ProductVariant/47090349146286,Preta,gid://shopify/Product/8894503813294,Caneta Crown Personalizada Metal Sigma Esferográfica
gid://shopify/Order/6304922730670,#5536,2025-12-19T19:02:08Z,gid://shopify/LineItem/14976897646766,Caneta Crown Personalizada Metal Sigma Esferográfica - Preta,DI10068P,1,99.9,BRL,gid://shopify/ProductVariant/47090349146286,Preta,gid://shopify/Product/8894503813294,Caneta Crown Personalizada Metal Sigma Esferográfica
gid://shopify/Order/6304917094574,#5535,2025-12-19T18:57:42Z,gid://shopify/LineItem/14976885293230,Caneta Crown Personalizada Diamond - Rose,DI11004F,1,122.9,BRL,gid://shopify/ProductVariant/47090342887598,Rose,gid://shopify/Product/8894501716142,Caneta Crown Personalizada Diamond
gid://shopify/Order/6304912801966,#5534,2025-12-19T18:55:06Z,gid://shopify/LineItem/14976876347566,Caneta Crown Personalizada Metal President Tinteiro - Preta,DI39840P,1,370.9,BRL,gid://shopify/ProductVariant/47090348196014,Preta,gid://shopify/Product/8894503420078,Caneta Crown Personalizada Metal President Tinteiro
gid://shopify/Order/6304910508206,#5533,2025-12-19T18:53:46Z,gid://shopify/LineItem/14976871399598,Caneta Crown Personalizada Metal Sucesso Esferográfica - Verde,DI10046G,1,112.9,BRL,gid://shopify/ProductVariant/47090349441198,Verde,gid://shopify/Product/8894503911598,Caneta Crown Personalizada Metal Sucesso Esferográfica
gid://shopify/Order/6304904511662,#5532,2025-12-19T18:48:58Z,gid://shopify/LineItem/14976857931950,Caneta Crown Personalizada Metal Libra Gold Esferográfica - Rosa,DI10078K,1,113.9,BRL,gid://shopify/ProductVariant/47090346131630,Rosa,gid://shopify/Product/8894502600878,Caneta Crown Personalizada Metal Libra Gold Esferográfica
gid://shopify/Order/6304902971566,#5531,2025-12-19T18:47:56Z,gid://shopify/LineItem/14976855408814,Caneta Crown Personalizada Metal Capricci Esferográfica - Prata,DI12601S,1,134.9,BRL,gid://shopify/ProductVariant/47090343444654,Prata,gid://shopify/Product/8894501912750,Caneta Crown Personalizada Metal Capricci Esferográfica
gid://shopify/Order/6304902971566,#5531,2025-12-19T18:47:56Z,gid://shopify/LineItem/14976855441582,Caneta Crown Personalizada Metal Capricci Esferográfica - Azul,DI12601A,1,134.9,BRL,gid://shopify/ProductVariant/47090343248046,Azul,gid://shopify/Product/8894501912750,Caneta Crown Personalizada Metal Capricci Esferográfica
gid://shopify/Order/6304878297262,#5530,2025-12-19T18:31:09Z,gid://shopify/LineItem/14976801669294,Caneta Crown Personalizada Metal Treasure Esferográfica - Preta,DI19966P,1,109.9,BRL,gid://shopify/ProductVariant/47090349801646,Preta,gid://shopify/Product/8894504009902,Caneta Crown Personalizada Metal Treasure Esferográfica
gid://shopify/Order/6304872464558,#5529,2025-12-19T18:27:13Z,gid://shopify/LineItem/14976789610670,Caneta Crown Personalizada Metal Otawa Esferográfica - Azul,DI10076A,1,69.9,BRL,gid://shopify/ProductVariant/47090347540654,Azul,gid://shopify/Product/8894503092398,Caneta Crown Personalizada Metal Otawa Esferográfica
gid://shopify/Order/6304831144110,#5528,2025-12-19T17:59:00Z,gid://shopify/LineItem/14976706937006,Caneta Crown Personalizada Metal President Esferográfica - Preta,DI19840P,1,289.9,BRL,gid://shopify/ProductVariant/47090347933870,Preta,gid://shopify/Product/8894503321774,Caneta Crown Personalizada Metal President Esferográfica
gid://shopify/Order/6304829898926,#5527,2025-12-19T17:58:10Z,gid://shopify/LineItem/14976703103150,Caneta Crown Personalizada Metal Treasure Esferográfica - Preta,DI19966P,1,109.9,BRL,gid://shopify/ProductVariant/47090349801646,Preta,gid://shopify/Product/8894504009902,Caneta Crown Personalizada Metal Treasure Esferográfica
gid://shopify/Order/6304825573550,#5526,2025-12-19T17:55:10Z,gid://shopify/LineItem/14976693108910,Caneta Crown Personalizada Metal Capricci Roller - Azul,DI22627A,1,187.9,BRL,gid://shopify/ProductVariant/47090343739566,Azul,gid://shopify/Product/8894501945518,Caneta Crown Personalizada Metal Capricci Roller
gid://shopify/Order/6304814465198,#5525,2025-12-19T17:47:35Z,gid://shopify/LineItem/14976668827822,Caneta Crown Personalizada Metal Embaixador Esferográfica - Preta,DI10004P,1,121.77,BRL,gid://shopify/ProductVariant/47197782868142,Preta,gid://shopify/Product/8922022772910,Caneta Crown Personalizada Metal Embaixador Esferográfica
gid://shopify/Order/6304782647470,#5524,2025-12-19T17:26:48Z,gid://shopify/LineItem/14976598671534,Caneta Crown Personalizada Metal Cristal Esferográfica - Cinza,DI10044C,1,99.9,BRL,gid://shopify/ProductVariant/47090344657070,Cinza,gid://shopify/Product/8894502076590,Caneta Crown Personalizada Metal Cristal Esferográfica
gid://shopify/Order/6304758530222,#5523,2025-12-19T17:10:50Z,gid://shopify/LineItem/14976548569262,Caneta Crown Personalizada Metal Treasure Esferográfica - Preta e Prata,DI19966X,1,109.9,BRL,gid://shopify/ProductVariant/47090349867182,Preta e Prata,gid://shopify/Product/8894504009902,Caneta Crown Personalizada Metal Treasure Esferográfica
gid://shopify/Order/6304737951918,#5522,2025-12-19T16:57:41Z,gid://shopify/LineItem/14976508821678,Caneta Crown Personalizada Metal Treasure Esferográfica - Preta,DI19966P,1,109.9,BRL,gid://shopify/ProductVariant/47090349801646,Preta,gid://shopify/Product/8894504009902,Caneta Crown Personalizada Metal Treasure Esferográfica
gid://shopify/Order/6304729366702,#5521,2025-12-19T16:52:11Z,gid://shopify/LineItem/14976488636590,Caneta Crown Personalizada Metal Treasure Esferográfica - Prata,DI19966S,1,109.9,BRL,gid://shopify/ProductVariant/47090349834414,Prata,gid://shopify/Product/8894504009902,Caneta Crown Personalizada Metal Treasure Esferográfica
gid://shopify/Order/6304729366702,#5521,2025-12-19T16:52:11Z,gid://shopify/LineItem/14976488669358,Caneta Crown Personalizada Metal Treasure Esferográfica - Prata,DI19966S,1,109.9,BRL,gid://shopify/ProductVariant/47090349834414,Prata,gid://shopify/Product/8894504009902,Caneta Crown Personalizada Metal Treasure Esferográfica
gid://shopify/Order/6304729366702,#5521,2025-12-19T16:52:11Z,gid://shopify/LineItem/14976488702126,Caneta Crown Personalizada Metal Treasure Esferográfica - Prata,DI19966S,1,109.9,BRL,gid://shopify/ProductVariant/47090349834414,Prata,gid://shopify/Product/8894504009902,Caneta Crown Personalizada Metal Treasure Esferográfica
gid://shopify/Order/6304729366702,#5521,2025-12-19T16:52:11Z,gid://shopify/LineItem/14976488734894,Caneta Crown Personalizada Metal Treasure Esferográfica - Prata,DI19966S,1,109.9,BRL,gid://shopify/ProductVariant/47090349834414,Prata,gid://shopify/Product/8894504009902,Caneta Crown Personalizada Metal Treasure Esferográfica
gid://shopify/Order/6304729366702,#5521,2025-12-19T16:52:11Z,gid://shopify/LineItem/14976488767662,Caneta Crown Personalizada Metal Treasure Esferográfica - Prata,DI19966S,1,109.9,BRL,gid://shopify/ProductVariant/47090349834414,Prata,gid://shopify/Product/8894504009902,Caneta Crown Personalizada Metal Treasure Esferográfica
gid://shopify/Order/6304729366702,#5521,2025-12-19T16:52:11Z,gid://shopify/LineItem/14976488800430,Caneta Crown Personalizada Metal Treasure Esferográfica - Prata,DI19966S,1,109.9,BRL,gid://shopify/ProductVariant/47090349834414,Prata,gid://shopify/Product/8894504009902,Caneta Crown Personalizada Metal Treasure Esferográfica
gid://shopify/Order/6304729366702,#5521,2025-12-19T16:52:11Z,gid://shopify/LineItem/14976488833198,Caneta Crown Personalizada Metal Treasure Esferográfica - Prata,DI19966S,1,109.9,BRL,gid://shopify/ProductVariant/47090349834414,Prata,gid://shopify/Product/8894504009902,Caneta Crown Personalizada Metal Treasure Esferográfica
gid://shopify/Order/6304706330798,#5520,2025-12-19T16:39:22Z,gid://shopify/LineItem/14976444367022,Caneta Crown Personalizada Metal Sigma Esferográfica - Azul,DI10068A,1,99.9,BRL,gid://shopify/ProductVariant/47090349047982,Azul,gid://shopify/Product/8894503813294,Caneta Crown Personalizada Metal Sigma Esferográfica
gid://shopify/Order/6304702070958,#5519,2025-12-19T16:36:43Z,gid://shopify/LineItem/14976435945646,Conjunto Caneta Crown Personalizada Metal President Esferografica E Tinteiro Preto,DI49840P,1,628.9,BRL,gid://shopify/ProductVariant/47108519428270,Default Title,gid://shopify/Product/8898908586158,Conjunto Caneta Crown Personalizada Metal President Esferografica E Tinteiro Preto
gid://shopify/Order/6304683393198,#5518,2025-12-19T16:25:03Z,gid://shopify/LineItem/14976395378862,Caneta Crown Personalizada Diamond - Prata,DI11004S,1,122.9,BRL,gid://shopify/ProductVariant/47090342920366,Prata,gid://shopify/Product/8894501716142,Caneta Crown Personalizada Diamond
gid://shopify/Order/6304665501870,#5517,2025-12-19T16:10:37Z,gid://shopify/LineItem/14976354844846,Caneta Crown Personalizada Metal Treasure Esferográfica - Prata e Dourado,DI19966N,1,109.9,BRL,gid://shopify/ProductVariant/47090349932718,Prata e Dourado,gid://shopify/Product/8894504009902,Caneta Crown Personalizada Metal Treasure Esferográfica
gid://shopify/Order/6304656883886,#5516,2025-12-19T16:04:38Z,gid://shopify/LineItem/14976338002094,Caneta Crown Personalizada Metal Viena Esferográfica - Azul,DI11307A,1,62.9,BRL,gid://shopify/ProductVariant/47090350620846,Azul,gid://shopify/Product/8894504239278,Caneta Crown Personalizada Metal Viena Esferográfica
gid://shopify/Order/6304642662574,#5515,2025-12-19T15:54:37Z,gid://shopify/LineItem/14976309723310,Caneta Crown Personalizada Metal Capricci Esferográfica - Preta,DI12601P,1,134.9,BRL,gid://shopify/ProductVariant/47090343411886,Preta,gid://shopify/Product/8894501912750,Caneta Crown Personalizada Metal Capricci Esferográfica
gid://shopify/Order/6304641515694,#5514,2025-12-19T15:53:43Z,gid://shopify/LineItem/14976306938030,Caneta Crown Personalizada Metal Liverpool Gold Esferográfica - Preta,DI10080P,1,89.9,BRL,gid://shopify/ProductVariant/47090346459310,Preta,gid://shopify/Product/8894502797486,Caneta Crown Personalizada Metal Liverpool Gold Esferográfica
gid://shopify/Order/6304609861806,#5513,2025-12-19T15:28:00Z,gid://shopify/LineItem/14976242581678,Caneta Crown Personalizada Metal Treasure Esferográfica - Prata,DI19966S,1,109.9,BRL,gid://shopify/ProductVariant/47090349834414,Prata,gid://shopify/Product/8894504009902,Caneta Crown Personalizada Metal Treasure Esferográfica
gid://shopify/Order/6304601079982,#5512,2025-12-19T15:21:39Z,gid://shopify/LineItem/14976226164910,Caneta Crown Personalizada Metal Treasure Esferográfica - Preta,DI19966P,1,109.9,BRL,gid://shopify/ProductVariant/47090349801646,Preta,gid://shopify/Product/8894504009902,Caneta Crown Personalizada Metal Treasure Esferográfica
gid://shopify/Order/6304563036334,#5511,2025-12-19T14:59:45Z,gid://shopify/LineItem/14976161611950,Caneta Crown Personalizada Montreal Tinteiro - Champagne,DI31001H,1,181.9,BRL,gid://shopify/ProductVariant/47090351177902,Champagne,gid://shopify/Product/8894504337582,Caneta Crown Personalizada Montreal Tinteiro
gid://shopify/Order/6304550551726,#5510,2025-12-19T14:48:42Z,gid://shopify/LineItem/14976135626926,Caneta Crown Personalizada Athenas Esferográfica - Preta (clip rose),DI10001K,1,74.9,BRL,gid://shopify/ProductVariant/47144778072238,Preta (clip rose),gid://shopify/Product/8908422873262,Caneta Crown Personalizada Athenas Esferográfica
gid://shopify/Order/6304550551726,#5510,2025-12-19T14:48:42Z,gid://shopify/LineItem/14976135659694,Caneta Crown Personalizada Metal Viena Esferográfica - Bege,DI11307O,1,62.9,BRL,gid://shopify/ProductVariant/47090350751918,Bege,gid://shopify/Product/8894504239278,Caneta Crown Personalizada Metal Viena Esferográfica
gid://shopify/Order/6304549273774,#5509,2025-12-19T14:47:30Z,gid://shopify/LineItem/14976132776110,Canetas Crown Personalizada Iron Tinteiro,DI32801S,1,128.9,BRL,gid://shopify/ProductVariant/47090351603886,Default Title,gid://shopify/Product/8894504566958,Canetas Crown Personalizada Iron Tinteiro
gid://shopify/Order/6304549273774,#5509,2025-12-19T14:47:30Z,gid://shopify/LineItem/14976132808878,Canetas Crown Personalizada Iron Tinteiro,DI32801S,1,128.9,BRL,gid://shopify/ProductVariant/47090351603886,Default Title,gid://shopify/Product/8894504566958,Canetas Crown Personalizada Iron Tinteiro
gid://shopify/Order/6304530596014,#5508,2025-12-19T14:30:31Z,gid://shopify/LineItem/14976096272558,Caneta Crown Personalizada Metal Liverpool Gold Esferográfica - Bordo,DI10080D,1,89.9,BRL,gid://shopify/ProductVariant/47090346524846,Bordo,gid://shopify/Product/8894502797486,Caneta Crown Personalizada Metal Liverpool Gold Esferográfica
gid://shopify/Order/6304529547438,#5507,2025-12-19T14:29:30Z,gid://shopify/LineItem/14976093978798,CARGA CROWN ESFEROGRAFICA TIPO PARKER | CA14007 - Azul,CA14007A,1,21.9,BRL,gid://shopify/ProductVariant/47122633556142,Azul,gid://shopify/Product/8901032214702,CARGA CROWN ESFEROGRAFICA TIPO PARKER | CA14007
gid://shopify/Order/6304523321518,#5506,2025-12-19T14:24:08Z,gid://shopify/LineItem/14976082542766,Caneta Crown Personalizada Metal Otawa Esferográfica - Fumê,DI10076F,1,69.9,BRL,gid://shopify/ProductVariant/47090347442350,Fumê,gid://shopify/Product/8894503092398,Caneta Crown Personalizada Metal Otawa Esferográfica
gid://shopify/Order/6304523321518,#5506,2025-12-19T14:24:08Z,gid://shopify/LineItem/14976082575534,Caneta Crown Personalizada Metal Otawa Esferográfica - Fumê,DI10076F,1,69.9,BRL,gid://shopify/ProductVariant/47090347442350,Fumê,gid://shopify/Product/8894503092398,Caneta Crown Personalizada Metal Otawa Esferográfica
